id	type	DescriptionTitle	PriceLabel	ListingDate	ReListingDate	Address	Suburb	State	PostCode	Property.lat	Property.lon	PropertyType	Agency.Id	Agency.Type	Agency.Name	Agent.Name	Beds	Baths	Cars	EER	PlotSize	Features
177866566	SALES_RESIDENTIAL	If you love large blocks and have big dreams	Auction 13/02/20	2020-01-24 01:31:14		3 Andado Place	Hawker	ACT	2614	-35.241545	149.0310556	HOUSE	80917	Agent	Ray White Canberra 	Peter Walker	4	2	2	1	1341	
177889855	SALES_RESIDENTIAL	Size does Matter!	Auction 15/02/20	2020-01-30 05:21:29		11 Burrowa Street	Palmerston	ACT	2913	-35.1911229	149.1146475	HOUSE	93	Agent	LJ Hooker Belconnen	Sharon Schnyder	4	2	2	3	743	
177886225	SALES_RESIDENTIAL	Neat and tidy with garden oasis	Auction 15/02/20	2020-01-29 19:00:11		82 Jackie Howe Crescent	Macarthur	ACT	2904	-35.4016787	149.1300316	HOUSE	468807	Agent	McCann Properties	Mark McCann	3	1	2	0.5	902	
177873893	SALES_RESIDENTIAL	Location, Privacy, Space	Auction 15/02/20	2020-01-27 13:00:00		16 Sellwood Street	Holt	ACT	2615	-35.2193884	149.0092087	HOUSE	421	Agent	Luton Properties Dickson	Simon Porter	3	1	2	1.5	685	
177866730	SALES_RESIDENTIAL	Where families come together!	Auction 15/02/20	2020-01-24 02:20:11		45 Paperbark Street	Banks	ACT	2906	-35.4706913	149.1044	HOUSE	80917	Agent	Ray White Canberra 	Lisa Silberberg	6	3	3	4.5	885	
177880002	SALES_RESIDENTIAL	Standing the test of time	Auction 15/02/20	2020-01-29 00:42:24		3 Hillebrand Street	Page	ACT	2614	-35.2414377	149.051027	HOUSE	93	Agent	LJ Hooker Belconnen	Sharon Schnyder	4	1	3	0.5	898	
177865831	SALES_RESIDENTIAL	Unique, single level townhouse with large wrap around courtyard – 178m2 in total	Auction 15/02/20	2020-01-24 00:21:01		11/4-6 Hardman Street	O'Connor	ACT	2602	-35.2648507	149.1210124	TOWNHOUSE	5402	Agent	Independent Inner North & City	Mark Larmer	2	2	2	5.5	0	
177863701	SALES_RESIDENTIAL	Excellent Single Level Residence	Auction 15/02/20	2020-01-23 22:52:09		41 Kootingal Street	Giralang	ACT	2617	-35.2133274	149.0965846	TOWNHOUSE	3285	Agent	Luton Properties Belconnen	Phil Rooke	2	1	1	1	0	
177880009	SALES_RESIDENTIAL	North Facing Unit in Prime Locale!	Auction 19/02/20	2020-01-29 00:32:01		304/4 Masson Street	Turner	ACT	2612	-35.2705077	149.1294485	UNIT	539	Agent	LJ Hooker Gungahlin	Madeleine Sanfrancesco	2	1	2	6	76.6	
177887052	SALES_RESIDENTIAL	Hidden Gem	Auction 19/02/20	2020-01-30 01:00:52		38 Lawley Street	Deakin	ACT	2600	-35.3206081	149.1018663	HOUSE	73	Agent	Luton Properties Manuka	Geraldine Collison	4	2	2	3	793	
177879379	SALES_RESIDENTIAL	Welcome to Wardell	Auction 19/02/20	2020-01-28 23:02:07		9 Wardell Place	Kambah	ACT	2902	-35.3926329	149.0771933	HOUSE	210176	Agent	LJ Hooker Weston Creek	Michelle Climpson	3	1	3	4	806	
177888731	SALES_RESIDENTIAL	Who says a family home can't be luxurious as well?	Auction 19/02/20	2020-01-30 03:30:57		24 Keith Waller Rise	Casey	ACT	2913	-35.1591462	149.0964178	HOUSE	539	Agent	LJ Hooker Gungahlin	Lisa van Niekerk	4	2	2	6	465	
177867027	SALES_RESIDENTIAL	Spacious family-friendly home close to schools and shops!	Auction 19/02/20	2020-01-24 03:00:51		6 Giliruk Crescent	Ngunnawal	ACT	2913	-35.170165	149.104826	HOUSE	539	Agent	LJ Hooker Gungahlin	Jason Hall	4	2	2	5	796	
177886549	SALES_RESIDENTIAL	Cricket, kids and pets, this backyard can fit them all	Auction 19/02/20	2020-01-29 22:20:51		10 Moondarra Street	Amaroo	ACT	2914	-35.1709475	149.1306596	HOUSE	539	Agent	LJ Hooker Gungahlin	Carly Clough	4	2	2	4	872	
177854821	SALES_RESIDENTIAL	READY TO LOVE	Auction 20/02/20	2020-01-24 00:10:56		25 Aida Ball Circuit	Forde	ACT	2914	-35.1727975	149.1499486	HOUSE	116	Agent	Laurrie Scheele	Fleur Scheele	4	2	2	6		['FAMILY_ROOM', 'STUDY']
177888720	SALES_RESIDENTIAL	a shared experience	Auction 20/02/20	2020-01-30 03:20:58		125 Madigan Street	Hackett	ACT	2602	-35.2528593	149.160985	HOUSE	577049	Agent	home.byholly	Holly Komorowski	4	2	3	1	0	
177886756	SALES_RESIDENTIAL	Elevated block with views to the Brindabellas.	Auction 20/02/20	2020-01-30 00:01:51		42 Stewart Crescent	Melba	ACT	2615	-35.2103816	149.0553718	HOUSE	80917	Agent	Ray White Canberra 	Bree Parker	4	2	2	1.5	1410	
177881526	SALES_RESIDENTIAL	Make your mark in a highly sought-after, historic Inner South Canberra suburb	Auction 20/02/20	2020-01-29 03:02:03		14 Warramoo Crescent	Narrabundah	ACT	2604	-35.335371	149.154528	HOUSE	5392	Agent	Independent Woden	Mark Wolens	2	1	0	2	471	
177886533	SALES_RESIDENTIAL	FAMILY LUXURY IN SOUGHT AFTER CARRINGTON	Auction 20/02/20	2020-01-29 23:00:51		13 Carrington Street	Deakin	ACT	2600	-35.3176202	149.1039291	HOUSE	572389	Agent	Belle Property Kingston	Michael Pead	5	3	2	5.5	654	
177892663	SALES_RESIDENTIAL	ainslie.house	Auction 20/02/20	2020-01-30 22:00:33		58 Paterson Street	Ainslie	ACT	2602	-35.2671422	149.1425915	HOUSE	577049	Agent	home.byholly	Holly Komorowski	4	2	2	2.5	934	
177886203	SALES_RESIDENTIAL	Lifestyle & Location	Auction 22/02/20	2020-01-29 15:20:26		7/60 Paul Coe Crescent	Ngunnawal	ACT	2913	-35.1799107	149.1176925	TOWNHOUSE	82	Agent	Luton Properties Woden	Anthony McCormack	3	1	1	0	0	
177892728	SALES_RESIDENTIAL	Peaceful & Private	Auction 22/02/20	2020-01-30 21:50:54		19 Waterworth Street	Dunlop	ACT	2615	-35.1922691	149.0158856	HOUSE	115835	Agent	Luton Properties Kippax	Ben Oostermeyer	4	2	2	4.5	525	
177886104	SALES_RESIDENTIAL	New year, new home?	Auction 22/02/20	2020-01-29 20:00:35		3 Gall Place	Kambah	ACT	2902	-35.3914294	149.0504409	HOUSE	1599	Agent	Luton Properties Weston Creek and Molonglo Valley	Tim and Justine Burke	4	2	1	3.5	612	
177879301	SALES_RESIDENTIAL	Location, views, lifestyle it's perfect	Auction 22/02/20	2020-01-28 23:02:07		103 Outtrim Avenue	Calwell	ACT	2905	-35.4353886	149.107741	HOUSE	682863	Agent	Hayman Partners	Shane Killalea	4	2	2	2	849	['SWIMMING_POOL']
177886204	SALES_RESIDENTIAL	Classic Ainslie charm - With no heritage constraints	Auction 22/02/20	2020-01-29 19:20:12		92 Ebden Street	Ainslie	ACT	2602	-35.2598607	149.1478388	HOUSE	682863	Agent	Hayman Partners	Brett Hayman	4	2	4	0	0	
177865717	SALES_RESIDENTIAL	Resort style living with fabulous views!	Auction 22/02/20	2020-01-24 00:02:01		7 Emanuel Place	Conder	ACT	2906	-35.4540989	149.099086	HOUSE	210176	Agent	LJ Hooker Weston Creek	Prue Down	4	4	3	3	874	
177889252	SALES_RESIDENTIAL	Separate title luxury terrace in central location	Auction 22/02/20	2020-01-30 04:20:55		8 Waramanga Place	Waramanga	ACT	2611	-35.3524027	149.0590345	HOUSE	5405	Agent	Independent Tuggeranong	Obi Shadmaan	3	2	1	2.5	248.7	['STUDY']
177879218	SALES_RESIDENTIAL	Bring the chic to family living	Auction 22/02/20	2020-01-28 22:22:09		9 Ellis Place	Cook	ACT	2614	-35.2576678	149.0593384	HOUSE	80917	Agent	Ray White Canberra 	Andrew Lonsdale	3	2	4	3.5	839	
177886504	SALES_RESIDENTIAL	Old Westridge Charm	Auction 22/02/20	2020-01-29 22:41:56		4 Schomburgk Street	Yarralumla	ACT	2600	-35.3094368	149.0947433	HOUSE	572389	Agent	Belle Property Kingston	Michael Pead	4	3	2	3.5	785	
177890669	SALES_RESIDENTIAL	The Perfect Start	Auction 22/02/20	2020-01-30 06:30:32		2 Campaspe Circuit	Kaleen	ACT	2617	-35.2275246	149.1102076	HOUSE	857413	Agent	Badenoch Real Estate Sales	Symon Badenoch	3	1	1	1.5	0	
177886687	SALES_RESIDENTIAL	Separate titled Duplex on RZ4 Block	Auction 22/02/20	2020-01-29 23:31:11		21 Lowrie Street	Dickson	ACT	2602	-35.2552717	149.1341117	HOUSE	84655	Agent	McGrath Estate Agents Gungahlin	Kris Hellier	3	1	1	2.5	0	
177886502	SALES_RESIDENTIAL	Family Perfection with Sweeping Views	Auction 22/02/20	2020-01-29 22:31:16		39 Parkhill Street	Pearce	ACT	2607	-35.3662049	149.0791997	HOUSE	98	Agent	LJ Hooker Manuka	Stephen Thompson	5	4	3	4	814	
177886401	SALES_RESIDENTIAL	Bright, updated home with character - in a superb RZ2 location, close to the Dickson centre!	Auction 22/02/20	2020-01-29 23:42:00		27 Bates Street	Dickson	ACT	2602	-35.2517238	149.1441167	HOUSE	421	Agent	Luton Properties Dickson	Aniko and Peter Carey	4	2	2	1	700	
177886486	SALES_RESIDENTIAL	Often sought, and rarely found	Auction 22/02/20	2020-01-29 20:00:23		13 Percival Street	Holder	ACT	2611	-35.3413196	149.0441432	HOUSE	1599	Agent	Luton Properties Weston Creek and Molonglo Valley	Tim and Justine Burke	4	2	2	4.5	989	
177875279	SALES_RESIDENTIAL	First Time Offered in 58 Years with Land Parcel 997m2	Auction 22/02/20	2020-01-28 20:16:53		28 Burn Place	Downer	ACT	2602	-35.2436777	149.1501729	HOUSE	118445	Agent	Morrissey Property	Trenton Morrissey	3	2	4	2.5	997	['DINING_ROOM', 'OFF_STREET_PARKING']
177886672	SALES_RESIDENTIAL	Beautifully updated family home	Auction 22/02/20	2020-01-30 00:02:08		19 Hanrahan Crescent	Dunlop	ACT	2615	-35.1864479	149.0280218	HOUSE	80917	Agent	Ray White Canberra 	Jake Battenally	4	2	2	4	501	
177886578	SALES_RESIDENTIAL	Kenneth Oliphant design, re-imagined for the modern world	Auction 22/02/20	2020-01-29 22:31:24		80 Captain Cook Crescent	Griffith	ACT	2603	-35.3307839	149.1375225	HOUSE	572389	Agent	Belle Property Kingston	Louise Harget	4	2	2	6	787	
177886685	SALES_RESIDENTIAL	Space to expand	Auction 22/02/20	2020-01-30 00:01:45		2 Halford Crescent	Page	ACT	2614	-35.2345532	149.0466308	HOUSE	643351	Agent	Peter Blackshaw Belconnen	Michael Braddon	3	1	2	4	1123	
177886513	SALES_RESIDENTIAL	A special home in a convenient and sought-after locale.	Auction 22/02/20	2020-01-29 23:11:15		118 Caley Crescent	Narrabundah	ACT	2604	-35.3397767	149.1451933	HOUSE	12	Agent	Peter Blackshaw Manuka	Christine Bassingthwaighte	4	2	2	4	943.1	
177886595	SALES_RESIDENTIAL	Sunset Swims on the City Fringe	Auction 22/02/20	2020-01-29 23:31:39		61 Duffy Street	Ainslie	ACT	2602	-35.2642042	149.1480195	HOUSE	572	Agent	LJ Hooker Dickson	Stephen Bunday	4	3	2	2	1057	['STUDY', 'SWIMMING_POOL']
177886144	SALES_RESIDENTIAL	Separate Title Gem...	Auction 22/02/20	2020-01-30 00:42:15		12 Elkedra Close	Hawker	ACT	2614	-35.2479605	149.041353	TOWNHOUSE	80917	Agent	Ray White Canberra 	Treston Bamber	2	1	1	1.5	297	
177882541	SALES_RESIDENTIAL	Opportunity knocks	Auction 22/02/20	2020-01-29 04:10:56		21 Reveley Crescent	Stirling	ACT	2611	-35.3544363	149.0495893	HOUSE	210176	Agent	LJ Hooker Weston Creek	Rhonda Coleman	4	1	2	0.5	745	
177882757	SALES_RESIDENTIAL	4 bedroom ensuite double garage family home in pristine condition. 804m2 block	Auction 22/02/20	2020-01-29 07:19:59		70 Barr Smith Avenue	Bonython	ACT	2905	-35.43181915	149.07614471	HOUSE	72	Agent	Wright Dunn Real Estate	Peter Andrighetto	4	2	2	3.5	804	['FAMILY_ROOM']
177879636	SALES_RESIDENTIAL	Single Level Sun Drenched	Auction 22/02/20	2020-01-28 22:42:12		23 Mayne Street	Chifley	ACT	2606	-35.3584085	149.0748731	HOUSE	700494	Agent	HIVE Property	Matt Shipard	3	2	2	5	684	
177874184	SALES_RESIDENTIAL	A touch of the tropics in the brilliant South!	Auction 22/02/20	2020-01-28 03:21:23		6 Bagshaw Place	Bonython	ACT	2905	-35.4388859	149.086396	HOUSE	550089	Agent	Harcourts Brindabella	Jeremy Maher	4	2	2	5	1318	
177886274	SALES_RESIDENTIAL	Beautifully sunlit family home	Auction 22/02/20	2020-01-29 19:20:51		56 Poynton Street	Hughes	ACT	2605	-35.3363624	149.0974044	HOUSE	682863	Agent	Hayman Partners	Brett Hayman	4	2	2	6	0	
177888604	SALES_RESIDENTIAL	Neat home in beautiful tree lined street	Auction 22/02/20	2020-01-30 04:01:29		4 Quandong Street	O'Connor	ACT	2602	-35.2580094	149.1150063	HOUSE	186856	Agent	McGrath Estate Agents Dickson	Maree Van Arkel	3	1	2	1	0	
177886555	SALES_RESIDENTIAL	Perfectly Presented	Auction 22/02/20	2020-01-29 23:20:59		40 McCabe Crescent	Holt	ACT	2615	-35.2304868	149.0154711	HOUSE	80917	Agent	Ray White Canberra 	Nathan Wood	3	2	1	2	745	
177886497	SALES_RESIDENTIAL	FAMILY. OUTSTANDING LOCATION. PRESENTATION.	Auction 22/02/20	2020-01-29 20:20:12		17 Desailly Crescent	Kambah	ACT	2902	-35.3840382	149.0867996	HOUSE	854944	Agent	Peter Blackshaw Woden, Weston Creek & Molonglo	Anthony Weston	4	2	2	4.5	0	
177886530	SALES_RESIDENTIAL	Fabulous Manuka Home	Auction 22/02/20	2020-01-29 22:20:56		37 Murray Crescent	Griffith	ACT	2603	-35.3210379	149.1309004	DUPLEX	12	Agent	Peter Blackshaw Manuka	Robert Westropp-Evans	4	3	1	5	620.2	
177881128	SALES_RESIDENTIAL	Peaceful & Private	Auction 22/02/20	2020-01-29 02:42:17		55 Zanci Street	Crace	ACT	2911	-35.2058378	149.1037049	HOUSE	115835	Agent	Luton Properties Kippax	Ben Oostermeyer	4	2	2	4.5	450	
177892816	SALES_RESIDENTIAL	Hughes awaits you…	Auction 22/02/20	2020-01-30 20:30:10		55 Carroll Street	Hughes	ACT	2605	-35.3340154	149.0923354	DUPLEX	857413	Agent	Badenoch Real Estate Sales	Symon Badenoch	2	1	1	3	0	
177894834	SALES_RESIDENTIAL	375m2 family home with 120m2 of garages & sheds on a huge 1,295m2 parcel of land	Auction 22/02/20	2020-01-31 04:30:48		59 Shumack Street	Weetangera	ACT	2614	-35.2506483	149.049522	HOUSE	5402	Agent	Independent Inner North & City	Mark Larmer	6	3	3	2.5	1295	
177886610	SALES_RESIDENTIAL	Executive Inner South Townhouse	Auction 22/02/20	2020-01-29 23:20:51		13/56 Stuart Street	Griffith	ACT	2603	-35.32867	149.141508	TOWNHOUSE	98	Agent	LJ Hooker Manuka	Tyran Murphy	2	2	2	6	0	
177871853	SALES_RESIDENTIAL	Beautifully Updated!	Auction 22/02/20	2020-01-27 22:51:32		8 Maynard Street	Ngunnawal	ACT	2913	-35.1621975	149.1091654	HOUSE	539	Agent	LJ Hooker Gungahlin	Antony Damiano	3	2	2	5.5	351	
177890092	SALES_RESIDENTIAL	When Cape Cod style gets a Canberra twist	Auction 22/02/20	2020-01-30 05:31:05		16 Lachlan Street	Macquarie	ACT	2614	-35.2538463	149.0640686	HOUSE	80917	Agent	Ray White Canberra 	Phyllis Tidmarsh	4	3	1	0.5	737	
177892857	SALES_RESIDENTIAL	Irresistible entertainers' haven in prime locale	Auction 22/02/20	2020-01-30 23:10:42		3 Humphris Place	Gowrie	ACT	2904	-35.4093815	149.1098039	HOUSE	84655	Agent	McGrath Estate Agents Gungahlin	Adam Jones	5	3	4	1.5	782	
177886272	SALES_RESIDENTIAL	Perfect Family Home in Elevated Position	Auction 22/02/20	2020-01-29 15:20:12		20 Bernacchi Street	Mawson	ACT	2607	-35.3620383	149.0958125	HOUSE	82	Agent	Luton Properties Woden	Anthony McCormack	4	2	2	2	872	
177888793	SALES_RESIDENTIAL	Home full of light and character, offering space and superb entertaining in historic lakeside suburb!	Auction 22/02/20	2020-01-30 03:41:50		37 Weston Street	Yarralumla	ACT	2600	-35.3096838	149.1028977	HOUSE	421	Agent	Luton Properties Dickson	Aniko and Peter Carey	4	3	1		794	
177886428	SALES_RESIDENTIAL	A place to call home	Auction 22/02/20	2020-01-29 20:00:11		4 Esson Place	Garran	ACT	2605	-35.3461504	149.1041085	HOUSE	1599	Agent	Luton Properties Weston Creek and Molonglo Valley	Tim and Justine Burke	4	2	2	2	1083	
177886273	SALES_RESIDENTIAL	A rare gem unveiled in leafy Curtin	Auction 22/02/20	2020-01-29 19:20:28		19 Gillies Street	Curtin	ACT	2605	-35.3240664	149.0838851	HOUSE	682863	Agent	Hayman Partners	Brett Hayman	5	3	2	1	845	
177879624	SALES_RESIDENTIAL	Renovators delight! - 3 bedroom residence set on a 849m2 block	Auction 22/02/20	2020-01-29 07:22:22		46 Padbury Street	Downer	ACT	2602	-35.24582198	149.14086397	HOUSE	72	Agent	Wright Dunn Real Estate	Peter Andrighetto	3	1	2	1	849	['DINING_ROOM']
177886545	SALES_RESIDENTIAL	Inner South Location with Views	Auction 22/02/20	2020-01-29 22:41:34		13/43 Hampton Circuit	Yarralumla	ACT	2600	-35.311033	149.1105663	APARTMENT	12	Agent	Peter Blackshaw Manuka	Dario Beltrami	2	3	2	6	0	
177886822	SALES_RESIDENTIAL	Indulge Your Heart in The Heart of Gungahlin	Auction 22/02/20	2020-01-30 00:42:03		222 Anthony Rolfe Avenue	Gungahlin	ACT	2912	-35.1855353	149.1461485	TOWNHOUSE	80917	Agent	Ray White Canberra 	Stephanie Hendry	3	2	2	6	381	
177886542	SALES_RESIDENTIAL	A little oasis in the heart of Campbell	Auction 22/02/20	2020-01-29 22:31:14		2/139-141 Blamey Crescent	Campbell	ACT	2612	-35.2911172	149.1528142	TOWNHOUSE	12	Agent	Peter Blackshaw Manuka	Debbie Maddigan	3	2	2	6	0	
177887725	SALES_RESIDENTIAL	Flexibility, space and a delight to inspect	Auction 22/02/20	2020-01-30 02:30:41		42 Mawson Drive	Mawson	ACT	2607	-35.3617114	149.1009021	HOUSE	377855	Agent	One Agency Sandy Morris	Sandy Morris	4	2	2	3.5	913	
177886240	SALES_RESIDENTIAL	Sophisticated Living Maximum Lifestyle	Auction 22/02/20	2020-01-29 15:20:38		7/7 Hopegood Place	Garran	ACT	2605	-35.3441427	149.1068217	APARTMENT	82	Agent	Luton Properties Woden	Anthony McCormack	3	2	2	6	0	
177886532	SALES_RESIDENTIAL	Renovated, Willemsen Designed Townhouse	Auction 22/02/20	2020-01-29 22:41:44		45 MacLachlan Street	Holder	ACT	2611	-35.3399969	149.050094	TOWNHOUSE	572389	Agent	Belle Property Kingston	Dan McAlpine	2	1	1	4.5	222	
177881223	SALES_RESIDENTIAL	Your Very Own Happily Ever After - Three Bedrooms Two Bathrooms Double Automated Garaging	Auction 22/02/20	2020-01-29 03:02:03		12 Bemm Place	Amaroo	ACT	2914	-35.1682438	149.1247838	HOUSE	80917	Agent	Ray White Canberra 	Stephanie Hendry	3	2	2	6	451	
177886102	SALES_RESIDENTIAL	Highly Desirable RZ2 Location - Outstanding Opportunity	Auction 22/02/20	2020-01-29 19:30:15		41 Charteris Crescent	Chifley	ACT	2606	-35.3523349	149.0835713	HOUSE	682863	Agent	Hayman Partners	Brett Hayman	3	1	2	1	1023	
177882107	SALES_RESIDENTIAL	Ideal Family Living in Gollan Street	Auction 22/02/20	2020-01-29 03:42:06		27 Gollan Street	Evatt	ACT	2617	-35.2040774	149.0730125	HOUSE	252785	Agent	Luton Properties Gungahlin	Adrian Giampietro	4	2	3	2	715	
177888288	SALES_RESIDENTIAL	Centrally located, executive residence	Auction 22/02/20	2020-01-30 02:21:22		510/155 Northbourne Avenue	Turner	ACT	2612	-35.2656865	149.1309048	UNIT	572389	Agent	Belle Property Kingston	Dan McAlpine	3	2	2	6	0	
177894420	SALES_RESIDENTIAL	If You Love To Entertain	Auction 24/02/20	2020-01-31 03:41:50		14 Duterrau Crescent	Lyneham	ACT	2602	-35.24247	149.1174057	HOUSE	80917	Agent	Ray White Canberra 	Peter Walker	3	2	5	1	1052	
177893316	SALES_RESIDENTIAL	Spacious house on large block	Auction 25/02/20	2020-01-31 00:11:13		26 Tipiloura Street	Ngunnawal	ACT	2913	-35.1646257	149.1094434	HOUSE	186856	Agent	McGrath Estate Agents Dickson	Maree Van Arkel	4	2	2	3.5	680	
177893306	SALES_RESIDENTIAL	Inspired Desired - A New Owner Required	Auction 25/02/20	2020-01-31 00:10:59		17 Andado Place	Hawker	ACT	2614	-35.2411362	149.0301592	HOUSE	80917	Agent	Ray White Canberra 	Peter Walker	4	2	2	4	1930	['SWIMMING_POOL']
177891933	SALES_RESIDENTIAL	Inner City Sanctuary	Auction 25/02/20	2020-01-30 08:10:24		71/1 Kogarah Lane	Reid	ACT	2612	-35.2793582	149.1367489	APARTMENT	80917	Agent	Ray White Canberra 	Treston Bamber	3	2	1	3.5	0	
177895351	SALES_RESIDENTIAL	Simple Yet Sensational	Auction 25/02/20	2020-01-31 04:31:13		6 Anne Clarke Avenue	Nicholls	ACT	2913	-35.1839618	149.1050951	HOUSE	80917	Agent	Ray White Canberra 	Peter Walker	4	2	2	4	713	
